id,parent_id,level,objectid,objecttype,querystatus,querytime,querytype,message,created_time
131,2,2,10154819381600685_10154819524600685,data,fetched (200),54:04.4,Facebook:<post>/comments,"My ONLY suggestion would be to put the tylenol / excedrin...motrin...whatever kind of pill in either a pill case or bottle (labeled), with the amount of the recommended dosage. In times of crisis, we must remember that ODing does not equal less pain or a solution. A simple way to avoid this is having only the recommended amount available during these times. A phone number list is always a good call (no pun intended) too! At LEAST 10, in case people cant pick up or are busy. I usually include a few crisis lines in mine to know ill always have someone to talk to. But they come after the people who know me personally.",2017-10-11T19:43:20+0000
132,2,2,10154819381600685_10154819440205685,data,fetched (200),54:04.4,Facebook:<post>/comments,"We call them 'distraction boxes' rather than crisis kits. I like things with different textures, smells, sounds etc. Lots of written notes to oneself .. reminders of things you have got through, funnies, kind things people have said about you, compliments and achievements. Whatever the things are that make you feel content and plenty of colouring, crosswords, games. Scrabble tiles are good So is bubblewrap to pop.",2017-10-11T18:48:52+0000
133,2,2,10154819381600685_10154819400010685,data,fetched (200),54:04.4,Facebook:<post>/comments,See..i do not agree with the items in this picture. Coming from a parent of a child who has overdosed.,2017-10-11T18:24:51+0000
134,2,2,10154819381600685_10154821442770685,data,fetched (200),54:04.4,Facebook:<post>/comments,The Youth Services Bureau in Ottawa wants people to suicide,2017-10-12T17:27:09+0000
135,2,2,10154819381600685_10154819497740685,data,fetched (200),54:04.4,Facebook:<post>/comments,Blades...  To cut my self inoder to get relief from my anxiety,2017-10-11T19:29:05+0000
136,2,2,10154819381600685_10154820370975685,data,fetched (200),54:04.4,Facebook:<post>/comments,"Blades or a rope. I recently discovered how sharp and deep my cats claws can cut, over the old wounds should open them up nicely again. Pain is an escape, a release. If we have the right to live, why don't we have the right to die how we choose?",2017-10-12T04:10:01+0000
137,2,2,10154819381600685_10154820148085685,data,fetched (200),54:04.4,Facebook:<post>/comments,"when my anxiety is out of control, i eat foods from the ""apocalypse diet""... meaning, when the world actually falls apart for real, the food that would be left ... it's silly but my OCD chills after a twinkie and a canned soda 

also, if i really can't stop a panic attack, a hand full of mints or a single benadryl open up the airways to help more oxygen get in and then i tell myself ""normal breaths""",2017-10-12T01:43:28+0000
138,2,2,10154819381600685_10154819514995685,data,fetched (200),54:04.4,Facebook:<post>/comments,"My sister od on Ativan this summer trying to kill herself.
Couldnt smoke weed because of legal issues. 
Where is the blunt and the sweet leaf i your lil crisis kit
...cause thats the only one in mine and it works EVERY TIME",2017-10-11T19:39:06+0000
139,2,2,10154819381600685_10154821098735685,data,fetched (200),54:04.4,Facebook:<post>/comments,I so need to make one of these or buy one if I find one already made up.,2017-10-12T13:49:58+0000
140,2,2,10154819381600685_10154823002225685,data,fetched (200),54:04.4,Facebook:<post>/comments,a plastic bag to throw up in is what I'd need,2017-10-13T10:43:22+0000
141,2,2,10154819381600685_10154820299275685,data,fetched (200),54:04.4,Facebook:<post>/comments,"If my brother didn’t commit suicide, today would have been his 54th birthday. If you can, please give one dollar and pass this on. https://www.gofundme.com/daddy-dearest-wont-help-fund-house",2017-10-12T03:02:07+0000
142,2,2,10154819381600685_10154819440380685,data,fetched (200),54:04.4,Facebook:<post>/comments,"I call mine a self-soothing kit and I have a large one at home, one for on the go travel and even one at my therapist office. I have things in it that hit on all 5 senses which is very important.",2017-10-11T18:49:10+0000
